Confirmed.
Ley 7/1985 (LBRL) | De acuerdo con el artículo 89 de la Ley 7/1985, de 2 de abril, ¿qué clases de personal integran el personal al servicio de las entidades locales? | El personal al servicio de las entidades locales estará integrado por funcionarios de carrera, contratados en régimen de derecho laboral y personal eventual que desempeña puestos de confianza o asesoramiento especial. | El personal al servicio de las entidades locales estará integrado exclusivamente por funcionarios de carrera y funcionarios interinos de los Cuerpos Nacionales. | El personal al servicio de las entidades locales estará integrado por personal directivo estatutario, personal laboral temporal y altos comisionados locales. | El personal al servicio de las entidades locales estará integrado por funcionarios forales comunes, contratados administrativos de colaboración y personal eventual no retribuido. | A | El artículo 89 de la Ley 7/1985, de 2 de abril, determina de manera expresa: "El personal al servicio de las entidades locales estará integrado por funcionarios de carrera, contratados en régimen de derecho laboral y personal eventual que desempeña puestos de confianza o asesoramiento especial."
Ley 7/1985 (LBRL) | Según el artículo 92 bis.6 de la Ley 7/1985, de 2 de abril, ¿cuál será el sistema normal de provisión de puestos de trabajo para los funcionarios con habilitación de carácter nacional y cuál será su ámbito territorial? | El concurso será el sistema normal de provisión de puestos de trabajo y el ámbito territorial de los concursos será de carácter estatal. | La libre designación será el sistema normal y su ámbito de aplicación se restringirá a los municipios de la propia provincia. | El concurso de méritos forales será el sistema normal y su ámbito territorial se limitará a la Comunidad Autónoma respectiva. | La oposición libre será el sistema normal y su ámbito se circunscribirá al término municipal de la Corporación convocante. | A | El artículo 92 bis.6 de la Ley 7/1985, de 2 de abril, determina en su primer párrafo: "El Gobierno, mediante real decreto, regulará las especialidades correspondientes de la forma de provisión de puestos reservados a funcionarios de administración local con habilitación de carácter nacional. En todo caso, el concurso será el sistema normal de provisión de puestos de trabajo. El ámbito territorial de los concursos será de carácter estatal."
Ley 7/1985 (LBRL) | Conforme al artículo 92 bis.6 de la Ley 7/1985, de 2 de abril, ¿cómo se distribuyen los porcentajes de puntuación de los méritos en el baremo de los concursos de los habilitados nacionales? | Los méritos generales alcanzará un mínimo del 80%; los correspondientes a la Comunidad Autónoma hasta un 15%; y los de la Corporación local hasta un 5% del total posible. | Los méritos generales alcanzarán el 50%; los de la Comunidad Autónoma el 25%; y los méritos específicos locales el 25% del total posible. | Los méritos forales históricos ponderarán un 60%, correspondiendo un 40% a la antigüedad del subgrupo A1. | Los méritos específicos fijados por la Corporación alcanzarán el 80% del total posible conforme al Reglamento Orgánico Municipal. | A | El artículo 92 bis.6 de la Ley 7/1985, de 2 de abril, pauta en su segundo párrafo: "Los méritos generales, de preceptiva valoración, se determinarán por la Administración del Estado, y su puntuación alcanzará un mínimo del 80% del total posible conforme al baremo correspondiente. Los méritos correspondientes a las especialidades de la Comunidad Autónoma se fijarán por cada una de ellas y su puntuación podrá alcanzar hasta un 15% del total posible. Los méritos correspondientes a las especialidades de la Corporación local se fijarán por ésta, y su puntuación alcanzará hasta un 5% del total posible."
Ley 7/1985 (LBRL) | De acuerdo con el artículo 92 bis.8 de la Ley 7/1985, de 2 de abril, ¿cuánto tiempo como mínimo deben permanecer los funcionarios con habilitación nacional en cada puesto de trabajo obtenido por concurso para poder participar en nuevos concursos? | Un mínimo de dos años, salvo en el ámbito de una misma Entidad Local. | Un mínimo de un año de servicio efectivo continuo en la provincia. | Tres años naturales completos a contar desde la publicación del nombramiento en el BOE. | Cinco años obligatorios, salvo en el supuesto de supresión del puesto por redimensionamiento sectorial. | A | El artículo 92 bis.8 de la Ley 7/1985, de 2 de abril, exige: "Los funcionarios deberán permanecer en cada puesto de trabajo, obtenido por concurso, un mínimo de dos años para poder participar en los concursos de provisión de puestos de trabajo o ser nombrados con carácter provisional en otro puesto de trabajo, salvo en el ámbito de una misma Entidad Local."
Ley 7/1985 (LBRL) | A tenor del artículo 92 bis.11 de la Ley 7/1985, de 2 de abril, ¿qué órganos son competentes para la imposición de sanciones disciplinarias de suspensión de funciones y destitución a los funcionarios con habilitación nacional? | El Ministro de Hacienda y Administraciones Públicas para faltas muy graves, y la Comunidad Autónoma para sanciones de suspensión de funciones y destitución no comprendidas en el caso anterior. | El Alcalde o Presidente de la Corporación local de forma exclusiva mediante resolución de la Alcaldía. | La Comisión Especial de Sugerencias y Reclamaciones tras el informe del secretario general del Pleno. | El Tribunal Supremo de Justicia tras la sustanciación de las diligencias previas por el Ministerio Fiscal. | A | El artículo 92 bis.11 de la Ley 7/1985, de 2 de abril, distribuye la competencia sancionadora: "Son órganos competentes para la imposición de sanciones disciplinarias a los funcionarios de administración local con habilitación de carácter nacional los siguientes: a) El Ministro de Hacienda y Administraciones Públicas, cuando la sanción que recaiga sea por falta muy grave... b) La Comunidad Autónoma, cuando se trate de imponer sanciones de suspensión de funciones y destitución, no comprendidas en el párrafo anterior. c) El órgano local competente, cuando se trate de imponer sanciones por faltas leves."
Ley 7/1985 (LBRL) | Según dispone el artículo 93.1 de la Ley 7/1985, de 2 de abril, ¿qué estructura y cuantía tendrán las retribuciones básicas de los funcionarios locales? | Tendrán la misma estructura e idéntica cuantía que las establecidas con carácter general para toda la función pública. | Tendrán una estructura fijada libremente por el convenio colectivo de la entidad local y cuantía variable. | Tendrán una estructura dual aprobada por la MUNPAL basada en recargos por el hecho insular. | Tendrán la estructura que determine el Reglamento Orgánico Municipal, sin vinculación a la función pública estatal. | A | El artículo 93.1 de la Ley 7/1985, de 2 de abril, garantiza la homogeneidad retributiva básica: "Las retribuciones básicas de los funcionarios locales tendrán la misma estructura e idéntica cuantía que las establecidas con carácter general para toda la función pública."
Ley 7/1985 (LBRL) | Conforme al artículo 93.2 de la Ley 7/1985, de 2 de abril, ¿cómo se fija la cuantía global de las retribuciones complementarias de los funcionarios locales? | Será fijada por el Pleno de la Corporación dentro de los límites máximos y mínimos que se señalen por el Estado. | Será determinada discrecionalmente por el Alcalde en función de la oferta semestral de empleo. | Será establecida por la Junta de Gobierno Local previo dictamen vinculante del Tribunal de Cuentas. | Será fijada por la legislación de la Comunidad Autónoma según el número de habitantes del municipio. | A | El artículo 93.2 de la Ley 7/1985, de 2 de abril, mandata: "Las retribuciones complementarias se atendrán, asimismo, a la estructura y criterios de valoración objetiva de las del resto de los funcionarios públicos. Su cuantía global será fijada por el Pleno de la Corporación dentro de los límites máximos y mínimos que se señalen por el Estado."
Ley 7/1985 (LBRL) | A tenor del artículo 94 de la Ley 7/1985, de 2 de abril, ¿cuál será la jornada de trabajo de los funcionarios de la Administración local en cómputo anual? | Será en cómputo anual la misma que se fije para los funcionarios de la Administración Civil del Estado. | Será fijada de manera autónoma por el Pleno sin poder ser inferior a treinta y cinco horas semanales. | Se establecerá mediante bando de la Alcaldía atendiendo a las peculiaridades estacionales turísticas. | Será determinada anualmente por el Ministerio del Interior en coordinación con las Policías Locales. | A | El artículo 94 de la Ley 7/1985, de 2 de abril, homologa las jornadas: "La jornada de trabajo de los funcionarios de la Administración local será en cómputo anual la misma que se fije para los funcionarios de la Administración Civil del Estado. Se les aplicarán las mismas normas sobre equivalencia y reducción de jornada."
Ley 7/1985 (LBRL) | Según regula el artículo 97 de la Ley 7/1985, de 2 de abril, ¿dónde deben publicarse obligatoriamente los anuncios de convocatorias de pruebas de acceso a la función pública local y de concursos de provisión de puestos? | Deberán publicarse en el «Boletín Oficial del Estado». | Deberán publicarse en el Boletín Oficial de la respectiva Comunidad Autónoma. | Deberán publicarse únicamente en la sede electrónica municipal de la Corporación convocante. | Deberán publicarse por edicto en el tablón de anuncios de la Secretaría de la Diputación. | A | El artículo 97 de la Ley 7/1985, de 2 de abril, impone una rigurosa regla de publicidad estatal: "Los anuncios de convocatorias de pruebas de acceso a la función pública local y de concursos para la provisión de puestos de trabajo deberán publicarse en el «Boletín Oficial del Estado»."
Ley 7/1985 (LBRL) | De conformidad con el artículo 97 de la Ley 7/1985, de 2 de abril, ¿dónde se publicarán las bases de las convocatorias de pruebas de acceso y de concursos, salvo las relativas a la habilitación de carácter nacional? | Las bases se publicarán en el «Boletín Oficial de la Provincia». | Las bases se publicarán de forma exclusiva en el Boletín Oficial del Estado. | Las bases se insertarán únicamente en el Boletín Oficial de la Comunidad Autónoma uniprovincial. | Las bases se publicarán en el diario de mayor difusión comercial de la comarca afectada. | A | El artículo 97 establece en su segundo párrafo: "Las bases se publicarán en el «Boletín Oficial de la Provincia», salvo las relativas a las convocatorias de pruebas selectivas para la obtención de la habilitación de carácter nacional, que se publicarán en el «Boletín Oficial del Estado»."
Ley 7/1985 (LBRL) | Con arreglo al artículo 100.1 de la Ley 7/1985, de 2 de abril, ¿qué competencia corresponde a cada Corporación local en materia de selección de personal? | Es competencia de cada Corporación local la selección de los funcionarios con la excepción de los funcionarios con habilitación de carácter nacional. | Es competencia de cada Corporación local la selección uniforme de todos sus funcionarios sin excepción alguna. | Es competencia local la selección exclusiva del personal laboral, quedando la de los funcionarios reservada al Estado. | Es competencia de la Corporación la selección sujeta a la autorización previa de la Diputación Provincial. | A | El artículo 100.1 de la Ley 7/1985, de 2 de abril, desclinda: "Es competencia de cada Corporación local la selección de los funcionarios con la excepción de los funcionarios con habilitación de carácter nacional."
Ley 7/1985 (LBRL) | Según prevé el artículo 101 de la Ley 7/1985, de 2 de abril, ¿quiénes podrán participar en las convocatorias públicas de provisión de puestos de trabajo vacantes de las entidades locales? | Además de los funcionarios propios de la entidad convocante, podrán participar los funcionarios que pertenezcan a cualquiera de las Administraciones públicas, según dispongan las relaciones de puestos de trabajo. | Únicamente podrán participar los funcionarios de carrera de la propia Corporación local convocante de forma obligatoria. | Podrán participar todos los vecinos del municipio que se encuentren en pleno goce de sus derechos civiles y políticos. | Podrán participar exclusivamente los funcionarios de carrera integrados en la administración de la misma provincia. | A | El artículo 101 de la Ley 7/1985, de 2 de abril, determina en su segundo párrafo: "En dichas convocatorias de provisión de puestos de trabajo, además de la participación de los funcionarios propios de la entidad convocante, podrán participar los funcionarios que pertenezcan a cualquiera de las Administraciones públicas, quedando en este caso supeditada la participación a lo que al respecto establezcan las relaciones de puestos de trabajo."
Ley 7/1985 (LBRL) | Conforme al artículo 102.1 de la Ley 7/1985, de 2 de abril, ¿por quién serán aprobadas las bases que rijan las pruebas de selección y los concursos para la provisión de puestos de trabajo y a quién corresponde su convocatoria? | Serán aprobadas por el Presidente de la Corporación, a quien corresponderá su convocatoria. | Serán aprobadas por el Pleno mediante mayoría absoluta, correspondiendo la convocatoria a la Junta de Gobierno Local. | Serán aprobadas por el tribunal de selección, correspondiendo la convocatoria al Coordinador de Área. | Serán aprobadas por el Ministerio de Administraciones Públicas, correspondiendo la convocatoria al Alcalde. | A | El artículo 102.1 de la Ley 7/1985, de 2 de abril, estipula claramente en el marco del Capítulo IV: "Las pruebas de selección y los concursos para la provisión de puestos de trabajo, a que se refiere el presente Capítulo, se regirán por las bases que apruebe el Presidente de la Corporación, a quien corresponderá su convocatoria."
Ley 7/1985 (LBRL) | A tenor del artículo 102.2 de la Ley 7/1985, de 2 de abril, ¿qué actuación corresponde al tribunal u órgano similar tras la realización de las pruebas selectivas y a quién compete efectuar el nombramiento? | El tribunal u órgano similar elevará la correspondiente relación de aprobados al Presidente de la Corporación para hacer el nombramiento. | El tribunal dictará resolución definitiva de nombramiento e inscripción inmediata en el Registro de personal corporativo. | El tribunal elevará una terna al Pleno del Ayuntamiento para que decida el nombramiento por mayoría simple. | El tribunal remitirá las actas al Instituto de Estudios de Administración Local para la expedición de la habilitación nacional. | A | El artículo 102.2 de la Ley 7/1985, de 2 de abril, detalla el procedimiento: "En las pruebas selectivas, el tribunal u órgano similar elevará la correspondiente relación de aprobados al Presidente de la Corporación para hacer el nombramiento, a quien también corresponderá la resolución motivada de los concursos para la provisión de puestos de trabajo, previa propuesta de aquellos órganos de selección."
Ley 7/1985 (LBRL) | De conformidad con el artículo 103 de la Ley 7/1985, de 2 de abril, ¿cómo debe ser seleccionado el personal laboral por la propia Corporación local? | Ateniéndose, en todo caso, a lo dispuesto en el artículo 91 y con el máximo respeto al principio de igualdad de oportunidades de cuantos reúnan los requisitos exigidos. | Mediante libre designación de la Alcaldía atendiendo a criterios de competencia del mercado laboral privado. | A través de contratos mercantiles singulares visados previamente por la Comisión Especial de Cuentas de la provincia. | Ateniéndose a los convenios colectivos sectoriales privados con exención de los principios de la oferta pública de empleo. | A | El artículo 103 de la Ley 7/1985, de 2 de abril, prescribe de forma imperativa: "El personal laboral será seleccionado por la propia Corporación ateniéndose, en todo caso, a lo dispuesto en el artículo 91 y con el máximo respeto al principio de igualdad de oportunidades de cuantos reúnan los requisitos exigidos."
Ley 7/1985 (LBRL) | Según el artículo 103 bis.1 de la Ley 7/1985, de 2 de abril, ¿qué instrumento deben aprobar anualmente las Corporaciones locales respecto al personal laboral y respetando qué límites? | Aprobarán anualmente la masa salarial del personal laboral del sector público local respetando los límites y las condiciones que se establezcan con carácter básico en la correspondiente Ley de Presupuestos Generales del Estado. | Aprobarán la plantilla complementaria de personal contratado respetando los límites de renta del Sistema Europeo de Cuentas. | Aprobarán las bases del convenio colectivo laboral local respetando los límites del salario mínimo interprofesional. | Aprobarán el registro retributivo de las fundaciones asociadas respetando las directrices de la MUNPAL. | A | El artículo 103 bis.1 de la Ley 7/1985, de 2 de abril, introducido para el control del gasto de personal, determina: "Las Corporaciones locales aprobarán anualmente la masa salarial del personal laboral del sector público local respetando los límites y las condiciones que se establezcan con carácter básico en la correspondiente Ley de Presupuestos Generales del Estado."
Ley 7/1985 (LBRL) | Con arreglo al artículo 103 bis.3 de la Ley 7/1985, de 2 de abril, ¿dónde y en qué plazo debe publicarse la masa salarial aprobada del personal laboral del sector público local? | Será publicada en la sede electrónica de la Corporación y en el Boletín Oficial de la Provincia o, en su caso, de la Comunidad Autónoma uniprovincial en el plazo de 20 días. | Se publicará en el Boletín Oficial del Estado y en el tablón de edictos de la Secretaría general en el plazo de un mes. | Se insertará en la plataforma tecnológica del Consejo de Empadronamiento en el plazo improrrogable de quince días hábiles. | Se difundirá semestralmente a través del portal de internet digitalizado del Ministerio de Administraciones Públicas en diez días. | A | El artículo 103 bis.3 de la Ley 7/1985, de 2 de abril, pauta formalmente: "La masa salarial aprobada será publicada en la sede electrónica de la Corporación y en el Boletín Oficial de la Provincia o, en su caso, de la Comunidad Autónoma uniprovincial en el plazo de 20 días."
Ley 7/1985 (LBRL) | Según dispone el artículo 104.1 de la Ley 7/1985, de 2 de abril, ¿qué órgano determina el número, características y retribuciones del personal eventual y en qué momento del mandato? | Será determinado por el Pleno de cada Corporación, al comienzo de su mandato. | Será determinado de forma libre por el Alcalde mediante decreto dictado en la primera semana de constitución. | Corresponde a la Junta de Gobierno Local determinarlo al aprobar la oferta anual de empleo público. | Será fijado por el Presidente de la Diputación Provincial de común acuerdo con los coordinadores generales de área. | A | El artículo 104.1 de la Ley 7/1985, de 2 de abril, fija la competencia orgánica: "El número, características y retribuciones del personal eventual será determinado por el Pleno de cada Corporación, al comienzo de su mandato. Estas determinaciones sólo podrán modificarse con motivo de la aprobación de los presupuestos anuales."
Ley 7/1985 (LBRL) | Conforme al artículo 104.2 de la Ley 7/1985, de 2 de abril, ¿a quién corresponde el nombramiento y cese del personal eventual y cuándo cesan estos automáticamente en todo caso? | Corresponde al Alcalde o al Presidente de la entidad local correspondiente y cesan automáticamente cuando se produzca el cese o expire el mandato de la autoridad a la que presten su función de confianza o asesoramiento. | Corresponde al Pleno corporativo mediante mayoría absoluta y cesan automáticamente al cabo de dos años de servicio efectivo continuo. | Corresponde a la Junta de Gobierno Local y cesan automáticamente cuando se apruebe de forma definitiva el Presupuesto único anual. | Corresponde al Coordinador General del Área afectada y cesan automáticamente al disolverse las comisiones informativas permanentes. | A | El artículo 104.2 de la Ley 7/1985, de 2 de abril, define el carácter libre y la vinculación del personal de confianza: "El nombramiento y cese de estos funcionarios es libre y corresponde al Alcalde o al Presidente de la entidad local correspondiente. Cesan automáticamente en todo caso cuando se produzca el cese o expire el mandato de la autoridad a la que presten su función de confianza o asesoramiento."
Ley 7/1985 (LBRL) | A tenor del artículo 104.3 de la Ley 7/1985, de 2 de abril, ¿dónde deben publicarse obligatoriamente los nombramientos, el régimen de retribuciones y la dedicación del personal eventual? | En el «Boletín Oficial» de la Provincia y, en su caso, en el propio de la Corporación. | Únicamente en el Boletín Oficial del Estado de forma centralizada coordinada. | De manera exclusiva en la sede electrónica de la Comisión Nacional de Administración Local. | En el tablón de anuncios de la Sección Provincial del Consejo de Empadronamiento respectivo. | A | El artículo 104.3 de la Ley 7/1985, de 2 de abril, impone la siguiente regla de publicidad: "Los nombramientos de funcionarios de empleo [personal eventual], el régimen de sus retribuciones y su dedicación se publicarán en el «Boletín Oficial» de la Provincia y, en su caso, en el propio de la Corporación."
Ley 7/1985 (LBRL) | De acuerdo con el artículo 104 bis.1.b) de la Ley 7/1985, de 2 de abril, ¿cuál es el número máximo de puestos de trabajo de personal eventual con el que pueden contar en sus plantillas los Ayuntamientos de Municipios con población superior a 5.000 y no superior a 10.000 habitantes? | Un número que no podrá exceder de uno. | Un número máximo de dos puestos de confianza de asesoramiento. | Ninguno, quedando prohibida la dotación de personal eventual en este tramo poblacional. | Hasta tres puestos de trabajo si no cuentan con miembros de la corporación con dedicación parcial. | A | El artículo 104 bis.1.b) de la Ley 7/1985, de 2 de abril, limita de forma tasada: "Los Ayuntamientos de Municipios con población superior a 5.000 y no superior a 10.000 habitantes podrán incluir en sus plantillas puestos de trabajo de personal eventual por un número que no podrá exceder de uno."
Ley 7/1985 (LBRL) | Según el artículo 104 bis.1.c) de la Ley 7/1985, de 2 de abril, ¿cuál es el límite máximo de personal eventual autorizado para los Ayuntamientos de Municipios con población superior a 10.000 y no superior a 20.000 habitantes? | Un número que no podrá exceder de dos. | Un número de puestos de trabajo que no podrá exceder de uno. | Hasta un máximo de cinco puestos si cuentan con distritos territoriales desconcentrados. | Un número fijo de tres asesores especiales aprobados por el Pleno corporativo. | A | El artículo 104 bis.1.c) de la Ley 7/1985, de 2 de abril, determina: "Los Ayuntamientos de Municipios con población superior a 10.000 y no superior a 20.000 habitantes podrán incluir en sus plantillas puestos de trabajo de personal eventual por un número que no podrá exceder de dos."
