Confirmed.
Ley 7/1985 (LBRL) | De conformidad con lo establecido en el artículo 1.1 de la Ley 7/1985, de 2 de abril, Reguladora de las Bases del Régimen Local, ¿cómo se define a los Municipios dentro de la organización territorial del Estado? | Los Municipios son entidades básicas de la organización territorial del Estado y cauces inmediatos de participación ciudadana en los asuntos públicos, que institucionalizan y gestionan con autonomía los intereses propios de las correspondientes colectividades. | Los Municipios son corporaciones públicas secundarias delegadas por las Comunidades Autónomas para la gestión de servicios mínimos desconcentrados bajo tutela estatal. | Los Municipios son demarcaciones de carácter estrictamente administrativo, carentes de autonomía institucional y subordinadas a las directrices de la Provincia. | Los Municipios son Entidades Locales de adscripción potestativa cuya finalidad exclusiva es la ejecución forzosa de la normativa sectorial de las Islas. | A | El artículo 1.1 de la Ley 7/1985, de 2 de abril, dispone textualmente: "Los Municipios son entidades básicas de la organización territorial del Estado y cauces inmediatos de participación ciudadana en los asuntos públicos, que institucionalizan y gestionan con autonomía los intereses propios de las correspondientes colectividades."
Ley 7/1985 (LBRL) | De acuerdo con el artículo 16.2 de la Ley 7/1985, de 2 de abril, ¿cuál de los siguientes datos es estrictamente obligatorio para la inscripción en el Padrón municipal? | Nombre y apellidos, sexo, domicilio habitual (con especificación de la referencia catastral), nacionalidad, lugar y fecha de nacimiento, y número de DNI o documento equivalente para extranjeros. | Nombre y apellidos, estado civil, filiación completa, nivel de ingresos económicos anuales y número de afiliación a la Seguridad Social. | Nombre, apellidos, huella dactilar, titulación universitaria, domicilio fiscal y datos de representación política o afiliación sindical. | Nombre, apellidos, religión, número de teléfono móvil obligatorio, dirección de trabajo y datos del vehículo propio. | A | El artículo 16.2 de la Ley 7/1985, de 2 de abril, detalla la lista cerrada de datos obligatorios: "La inscripción en el Padrón municipal contendrá como obligatorios sólo los siguientes datos: a) Nombre y apellidos. b) Sexo. c) Domicilio habitual, con especificación de la referencia catastral... d) Nacionalidad. e) Lugar y fecha de nacimiento. f) Número de documento nacional de identidad o, tratándose de extranjeros... [documento equivalente] g) Certificado o título escolar o académico que se posea. h) Cuantos otros datos puedan ser necesarios para la elaboración del Censo Electoral..."
Ley 7/1985 (LBRL) | Con arreglo al artículo 18.1 de la Ley 7/1985, de 2 de abril, ¿cuál de los siguientes enunciados define correctamente un derecho y deber de los vecinos? | Exigir la prestación y, en su caso, el establecimiento del correspondiente servicio público, en el supuesto de constituir una competencia municipal propia de carácter obligatorio. | Exigir la exención total de las tasas de alcantarillado cuando los ingresos de la unidad familiar sean inferiores al salario mínimo. | Participar directamente en la aprobación inicial de los presupuestos municipales mediante voto vinculante en la asamblea de distritos. | Utilizar de forma privativa y gratuita los bienes comunales sin sujeción a las ordenanzas locales de aprovechamiento. | A | El artículo 18.1.g) de la Ley 7/1985, de 2 de abril, otorga a los vecinos la acción para exigir servicios obligatorios: "Son derechos y deberes de los vecinos: ... g) Exigir la prestación y, en su caso, el establecimiento del correspondiente servicio público, en el supuesto de constituir una competencia municipal propia de carácter obligatorio."
Ley 7/1985 (LBRL) | Según el artículo 19.1 de la Ley 7/1985, de 2 de abril, ¿a qué órganos corresponde el gobierno y la administración municipal, salvo en aquellos municipios que legalmente funcionen en régimen de Concejo Abierto? | Al ayuntamiento, integrado por el Alcalde y los Concejales. | Al Alcalde, asistido exclusivamente por la Junta de Gobierno Local y el Interventor. | Al Pleno del Ayuntamiento y a la Diputación Provincial de forma mancomunada. | A la Junta de Concejales de Distrito bajo la presidencia del Delegado del Gobierno. | A | El artículo 19.1 de la Ley 7/1985, de 2 de abril, estipula claramente la estructura del autogobierno municipal: "El Gobierno y la administración municipal, salvo en aquellos municipios que legalmente funcionen en régimen de Concejo Abierto, corresponde al ayuntamiento, integrado por el Alcalde y los Concejales."
Ley 7/1985 (LBRL) | Conforme al artículo 20.1 de la Ley 7/1985, de 2 de abril, ¿en qué municipios es preceptiva y obligatoria la existencia de la Junta de Gobierno Local? | En todos los municipios con población superior a 5.000 habitantes y en los de menos, cuando así lo disponga su reglamento orgánico o así lo acuerde el Pleno de su ayuntamiento. | Únicamente en los municipios que superen los 20.000 habitantes o sean capitales de provincia. | En todos los municipios de régimen común, excepto en aquellos integrados en un Área Metropolitana de gran población. | En los municipios con población superior a 10.000 habitantes, quedando prohibida su creación en los de menor población. | A | El artículo 20.1.b) de la Ley 7/1985, de 2 de abril, regula el umbral poblacional para la Junta de Gobierno Local: "La Junta de Gobierno Local existe en todos los municipios con población superior a 5.000 habitantes y en los de menos, cuando así lo disponga su reglamento orgánico o así lo acuerde el Pleno de su ayuntamiento."
Ley 7/1985 (LBRL) | Según el artículo 20.1.e) de la Ley 7/1985, de 2 de abril, ¿en qué municipios debe existir de forma obligatoria la Comisión Especial de Cuentas? | Existe en todos los municipios, de acuerdo con la estructura prevista en el artículo 116. | Solo existe en los municipios con población superior a 5.000 habitantes. | Es obligatoria únicamente en los municipios señalados en el título X como de gran población. | Existe en los municipios de régimen común que presenten déficit presupuestario estructural. | A | El artículo 20.1.e) de la Ley 7/1985, de 2 de abril, consagra la existencia universal de este órgano de control: "La Comisión Especial de Cuentas existe en todos los municipios, de acuerdo con la estructura prevista en el artículo 116."
Ley 7/1985 (LBRL) | A tenor del artículo 21.3 de la Ley 7/1985, de 2 de abril, ¿cuál de las siguientes atribuciones del Alcalde es absolutamente indelegable? | Las de convocar y presidir las sesiones del Pleno y de la Junta de Gobierno Local, decidir los empates con el voto de calidad, la jefatura superior de todo el personal y la separación del servicio de los funcionarios. | El otorgamiento de licencias de obras menores, la presidencia de las comisiones informativas y la ordenación de pagos corrientes. | La dirección, inspección e impulso de los servicios municipales ordinarios y la sanción de multas de tráfico leves. | El otorgamiento de distinciones institucionales, la publicación de bandos ordinarios y la jefatura de la Policía Municipal. | A | El artículo 21.3 de la Ley 7/1985, de 2 de abril, establece el núcleo de competencias exclusivas e indelegables de la Alcaldía: "El Alcalde puede delegar el ejercicio de sus atribuciones, salvo las de convocar y presidir las sesiones del Pleno y de la Junta de Gobierno Local, decidir los empates con el voto de calidad, la concertación de operaciones de crédito, la jefatura superior de todo el personal, la separación del servicio de los funcionarios y el despido del personal laboral, y las enunciadas en los párrafos a), e), j), k), l) y m) del apartado 1 de este artículo."
Ley 7/1985 (LBRL) | De conformidad con lo establecido en el artículo 22.2 de la Ley 7/1985, de 2 de abril, ¿cuál de las siguientes materias constituye una atribución reservada en todo caso al Pleno municipal e indelegable según el apartado 4 del mismo artículo? | La aprobación del reglamento orgánico y de las ordenanzas, la determinación de los recursos propios de carácter tributario y la aprobación y modificación de los presupuestos. | El otorgamiento de licencias de apertura de establecimientos y la dirección de la Policía Municipal. | El nombramiento de los Tenientes de Alcalde y la jefatura superior de todo el personal municipal. | La contratación ordinaria de obras y suministros cuando su importe no supere el 5 por ciento de los recursos ordinarios. | A | El artículo 22.4 de la Ley 7/1985, de 2 de abril, prohíbe taxativamente la delegación de las competencias nucleares del Pleno: "El Pleno puede delegar el ejercicio de sus atribuciones en el Alcalde y en la campaña de la Junta de Gobierno Local, salvo las enunciadas en el apartado 2, párrafos a), b), c), d), e), f), g), h), i), l) y p), y en el apartado 3 de este artículo [moción de censura y cuestión de confianza]." Las materias fiscales, presupuestarias y normativas corresponden a las letras d) y e).
Ley 7/1985 (LBRL) | Conforme al artículo 23.1 de la Ley 7/1985, de 2 de abril, ¿cómo se integra la Junta de Gobierno Local en cuanto al número máximo de sus miembros y quién ostenta la potestad para su nombramiento? | Se integra por el Alcalde y un número de Concejales no superior al tercio del número legal de los mismos, nombrados y separados libremente por aquél. | Se integra por el Alcalde y un concejal de cada grupo político de la oposición, elegidos por mayoría absoluta del Pleno. | Se integra por el Alcalde, los Tenientes de Alcalde y el Interventor general, requiriéndose la ratificación de la Junta de portavoces. | Se integra por un número fijo de cinco concejales en municipios medianos, nombrados a propuesta de la Diputación Provincial. | A | El artículo 23.1 de la Ley 7/1985, de 2 de abril, define la composición orgánica de la Junta de Gobierno: "La Junta de Gobierno Local se integra por el Alcalde y un número de Concejales no superior al tercio del número legal de los mismos, nombrados y separados libremente por aquél, dando cuenta al Pleno."
Ley 7/1985 (LBRL) | Según el artículo 24 bis de la Ley 7/1985, de 2 de abril, ¿cuál es la naturaleza jurídica de los entes de ámbito territorial inferior al Municipio instituidos por las Comunidades Autónomas y qué condición económica indispensable se exige para su creación? | Carecerán de personalidad jurídica, operan como forma de organización desconcentrada del municipio y solo podrán crearse si resulta una opción más eficiente de acuerdo con los principios de estabilidad presupuestaria y sostenibilidad financiera. | Gozarán de personalidad jurídica independiente plena y se financiarán de manera autónoma mediante la exacción de tributos propios. | Tendrán personalidad jurídica restringida sujeta a la tutela de la Diputación, requiriéndose que cuenten con un presupuesto superior al millón de euros. | Carecerán de personalidad jurídica y su creación es enteramente libre por razones de tradición histórica sin necesidad de ponderar la eficiencia económica. | A | El artículo 24 bis de la Ley 7/1985, de 2 de abril (introducido por la reforma de racionalización), dispone: "1. Las leyes de las Comunidades Autónomas sobre régimen local regularán los entes de ámbito territorial inferior al Municipio, que carecerán de personalidad jurídica, como forma de organización desconcentrada del mismo... 3. Solo podrán crearse este tipo de entes si resulta una opción más eficiente para la administración desconcentrada de núcleos de población separados de acuerdo con los principios previstos en la Ley Orgánica 2/2012, de 27 de abril, de Estabilidad Presupuestaria y Sostenibilidad Financiera."
Ley 7/1985 (LBRL) | A tenor del artículo 25.4 de la Ley 7/1985, de 2 de abril, ¿de qué debe ir acompañada de forma obligatoria la Ley que determine una competencia municipal propia para garantizar la suficiencia financiera? | De una memoria económica que refleje el impacto sobre los recursos financieros de las Administraciones Públicas afectadas y el cumplimiento de los principios de estabilidad, sostenibilidad financiera y eficiencia del servicio o la actividad. | De un estudio de impacto ambiental y un censo actualizado de los vecinos que vayan a beneficiarse de la medida. | De una autorización expresa firmada por el Presidente del Tribunal de Cuentas del Estado. | De un reglamento orgánico redactado por la Comisión Nacional de Administración Local. | A | El artículo 25.4 de la Ley 7/1985, de 2 de abril, establece esta rigurosa garantía: "La Ley a que se refiere el apartado anterior deberá ir acompañada de una memoria económica que refleje el impacto sobre los recursos financieros de las Administraciones Públicas afectadas y el cumplimiento de los principios de estabilidad, sostenibilidad financiera y eficiencia del servicio o la actividad. La Ley debe prever la dotación de los recursos necesarios para asegurar la suficiencia financiera de las Entidades Locales sin que ello pueda conllevar, en ningún caso, un mayor gasto de las Administraciones Públicas."
Ley 7/1985 (LBRL) | De acuerdo con lo establecido en el artículo 26.1 de la Ley 7/1985, de 2 de abril, ¿cuáles son los servicios mínimos obligatorios que deben prestarse en todos los Municipios, independientemente de su número de habitantes? | Alumbrado público, cementerio, recogida de residuos, limpieza viaria, abastecimiento domiciliario de agua potable, alcantarillado, acceso a los núcleos de población y pavimentación de las vías públicas. | Alumbrado público, parque público, biblioteca pública, policía local y protección civil. | Recogida de residuos, cementerio, instalaciones deportivas de uso público, transporte colectivo urbano y mercados. | Abastecimiento de agua potable, limpieza viaria, extinción de incendios, ferias interiores y asistencia social inmediata. | A | El artículo 26.1.a) de la Ley 7/1985, de 2 de abril, detalla los servicios obligatorios comunes a toda planta municipal: "En todos los Municipios: alumbrado público, cementerio, recogida de residuos, limpieza viaria, abastecimiento domiciliario de agua potable, alcantarillado, acceso a los núcleos de población y pavimentación de las vías públicas."
Ley 7/1985 (LBRL) | Conforme al artículo 26.1 de la Ley 7/1985, de 2 de abril, ¿a partir de qué umbral de población es obligatoria la prestación de los servicios de parque público, biblioteca pública y tratamiento de residuos? | En los Municipios con población superior a 5.000 habitantes. | En los Municipios con población superior a 2.000 habitantes. | En los Municipios con población superior a 10.000 habitantes. | En los Municipios con población superior a 20.000 habitantes. | A | El artículo 26.1.b) de la Ley 7/1985, de 2 de abril, señala textualmente: "En los Municipios con población superior a 5.000 habitantes, además: parque público, biblioteca pública y tratamiento de residuos."
Ley 7/1985 (LBRL) | Según el artículo 26.1 de la Ley 7/1985, de 2 de abril, ¿qué servicios obligatorios adicionales corresponden a los municipios con población superior a 20.000 habitantes? | Protección civil, evaluación e información de situaciones de necesidad social y la atención inmediata a personas en situación o riesgo de exclusión social, prevención y extinción de incendios e instalaciones deportivas de uso público. | Transporte colectivo urbano de viajeros, medio ambiente urbano y policía de playas. | Matadero municipal, mercado central de abastos, urgencias sanitarias y escuelas infantiles de primer ciclo. | Recogida selectiva de residuos comerciales, cementerio comarcal y portal de internet digitalizado. | A | El artículo 26.1.c) de la Ley 7/1985, de 2 de abril, prescribe como obligatorios a partir de 20.000 habitantes: "En los Municipios con población superior a 20.000 habitantes, además: protección civil, evaluación e información de situaciones de necesidad social y la atención inmediata a personas en situación o riesgo de exclusión social, prevención y extinción de incendios e instalaciones deportivas de uso público."
Ley 7/1985 (LBRL) | A tenor del artículo 26.1 de la Ley 7/1985, de 2 de abril, ¿qué servicios son exigibles con carácter obligatorio cuando la población del municipio supera los 50.000 habitantes? | Transporte colectivo urbano de viajeros y medio ambiente urbano. | Prevención y extinción de incendios, ambulancias municipales y albergue social. | Policía local con jefatura superior, tratamiento terciario de aguas y auditorio público. | Planificación urbanística integral, vivienda de protección pública y control acústico automático. | A | El artículo 26.1.d) de la Ley 7/1985, de 2 de abril, añade para este tramo poblacional: "En los Municipios con población superior a 50.000 habitantes, además: transporte colectivo urbano de viajeros y medio ambiente urbano."
Ley 7/1985 (LBRL) | Según dispone el artículo 26.2 de la Ley 7/1985, de 2 de abril, ¿qué entidad tiene encomendada la función de coordinar la prestación de servicios mínimos en los municipios con población inferior a 20.000 habitantes? | La Diputación provincial o entidad equivalente. | El Ministerio de Hacienda y Administraciones Públicas de forma directa. | La Mancomunidad comarcal de obligatoria adscripción. | El Consorcio Metropolitano de Aguas y Residuos. | A | El artículo 26.2 de la Ley 7/1985, de 2 de abril, establece este mecanismo de asistencia supramunicipal: "En los municipios con población inferior a 20.000 habitantes será la Diputación provincial o entidad equivalente la que coordinará la prestación de los siguientes servicios: a) Recogida y tratamiento de residuos... [etc.]."
Ley 7/1985 (LBRL) | De conformidad con el artículo 27.1 de la Ley 7/1985, de 2 de abril, ¿cuál es la duración mínima que debe determinar una delegación de competencias del Estado o de las Comunidades Autónomas en los Municipios? | No podrá ser inferior a cinco años. | Deberá ser de un año prorrogable por periodos idénticos. | Tendrá una duración máxima improrrogable de tres años. | Queda fijada obligatoriamente en cuatro años coincidiendo con el mandato local. | A | El artículo 27.1 de la Ley 7/1985, de 2 de abril, determina respecto a la delegación de competencias: "La delegación deberá determinar el alcance, contenido, condiciones y duración de ésta, que no podrá ser inferior a cinco años, así como el control de eficiencia..."
Ley 7/1985 (LBRL) | Con arreglo al artículo 27.6 de la Ley 7/1985, de 2 de abril, ¿qué requisito presupuestario condiciona de forma absoluta la validez de una delegación de competencias hacia un Municipio? | La delegación habrá de ir acompañada en todo caso de la correspondiente financiación, para lo cual será necesaria la existencia de dotación presupuestaria adecuada y suficiente en los presupuestos de la Administración delegante para cada ejercicio económico, siendo nula sin dicha dotación. | La aprobación previa de un recargo impositivo especial sobre el IBI por parte del Pleno del Ayuntamiento delegado. | La consignación de un fondo de avales líquidos ante el Banco de España por el importe total del coste del servicio. | El informe de fiscalización favorable previo y vinculante emitido de forma unánime por la Comisión Especial de Cuentas de la Provincia. | A | El artículo 27.6 de la Ley 7/1985, de 2 de abril, sanciona con la nulidad radical la falta de suficiencia financiera: "La delegación habrá de ir acompañada en todo caso de la correspondiente financiación, para lo cual será necesaria la existencia de dotación presupuestaria adecuada y suficiente en los presupuestos de la Administración delegante para cada ejercicio económico, siendo nula sin dicha dotación."
Ley 7/1985 (LBRL) | Según prevé el artículo 29.1 de la Ley 7/1985, de 2 de abril, ¿qué municipios funcionan en el régimen especial de Concejo Abierto? | Los municipios que tradicional y voluntariamente cuenten con ese singular régimen de gobierno y administración, y aquellos otros en los que por su localización geográfica, la mejor gestión de los intereses municipales u otras circunstancias lo hagan aconsejable. | Únicamente aquellos municipios que tengan menos de 100 residentes de forma obligatoria por Ley. | Todos los municipios de carácter rural integrados en comarcas de montaña con recursos insuficientes. | Los municipios turísticos insulares que aprueben un convenio de fusión por mayoría simple de su Pleno. | A | El artículo 29.1 de la Ley 7/1985, de 2 de abril, enumera los supuestos para este régimen asambleario: "Funcionan en Concejo Abierto: a) Los municipios que tradicional y voluntariamente cuenten con ese singular régimen de gobierno y administración. b) Aquellos otros en los que por su localización geográfica, la mejor gestión de los intereses municipales u otras circunstancias lo hagan aconsejable."
Ley 7/1985 (LBRL) | Conforme al artículo 29.3 de la Ley 7/1985, de 2 de abril, ¿a qué órganos corresponden el gobierno y la administración municipales en el régimen de Concejo Abierto? | A un Alcalde y una asamblea vecinal de la que forman parte todos los electores. | Al Alcalde, asistido por una Comisión de tres vecinos elegidos por sorteo notarial. | Al Pleno de la Gestora Municipal nombrada directamente por la Comunidad Autónoma. | A la asamblea de cabezas de familia bajo la presidencia rotatoria del vecino de mayor edad. | A | El artículo 29.3 de la Ley 7/1985, de 2 de abril, define la estructura de este régimen especial: "En el régimen de Concejo Abierto, el gobierno y la administración municipales corresponden a un Alcalde y una asamblea vecinal de la que forman parte todos los electores."
Ley 7/1985 (LBRL) | A tenor del artículo 31.2 de la Ley 7/1985, de 2 de abril, ¿cuáles son los fines propios y específicos de la Provincia? | Garantizar los principios de solidaridad y equilibrio intermunicipales, en el marco de la política económica y social, y, en particular, asegurar la prestación integral y adecuada en la totalidad del territorio provincial de los servicios de competencia municipal. | Ejercer la potestad legislativa local y coordinar los ingresos tributarios cedidos por las Comunidades Autónomas. | Sustituir las funciones ejecutivas de los Ayuntamientos con déficit económico y nombrar a los Alcaldes pedáneos. | Promover de manera exclusiva la planificación urbanística general y la gestión de la vivienda de protección pública. | A | El artículo 31.2 de la Ley 7/1985, de 2 de abril, establece los fines providenciales de la Provincia: "Son fines propios y específicos de la Provincia garantizar los principios de solidaridad y equilibrio intermunicipales, en el marco de la política económica y social, y, en particular: a) Asegurar la prestación integral y adecuada en la totalidad del territorio provincial de los servicios de competencia municipal. b) Participar en la coordinación de la Administración local con la de la Comunidad Autónoma y la del Estado."
