Confirmed.
Coneixements de Marratxí | D'acord amb l'apartat 1.1.1 del document, quins serveis ofereix actualment la Mancomunitat del Raiguer als diferents municipis que la integren? | Ofereix serveis com la recollida selectiva de residus, la neteja i manteniment de camins, serveis d'ocupació, educació per a persones adultes, i serveis de caire social i comunitari. | Ofereix exclusivament la gestió de la xarxa d'aigua potable a domicili i el manteniment del clavegueram metropolità. | Ofereix la gestió informatitzada del padró continu d'habitants i l'expedició de certificats escolars o acadèmics públics. | Ofereix de manera única la direcció i coordinació de la Policia Local com a policia de proximitat a la Serra de Tramuntana. | A | El text original de l'apartat 1.1.1 (Marratxí a la Mancomunitat del Raiguer) detalla: "Actualment la Mancomunitat ofereix als diferents municipis serveis com la recollida selectiva de residus, la neteja i manteniment de camins, serveis d'ocupació, educació per a persones adultes, serveis de caire social i comunitari, entre d'altres."
Coneixements de Marratxí | A tenor de la taula demogràfica recollida a l'apartat 4.1, quin efecte demogràfic dramàtic es desprèn a Marratxí durant el segle XIV a causa de la pesta de 1348? | La població va minvar molt notablement, disminuint el nombre de moratins de 44 (l'any 1343) a 32 (l'any 1350), el que representa més d'un 20% de pèrdua. | La població es va duplicar de forma excepcional a causa de l'èxode rural procedent de Palma. | Es varen fundar nous establiments com sa Cabaneta per donar cabuda a centenars de refugiats sanitaris. | El nombre de focs o llars es va mantenir totalment estable en 70 moratins certificats per la Cúria del Pariatge. | A | La nota al peu de la taula de població del segle XIV de l'apartat 4.1 indica: "*La pesta de 1348 va minvar la població molt notablement (+ d'un 20%)", passant el nombre de moratins de 44 l'any 1343, a 32 l'any 1350.
Coneixements de Marratxí | Segons s'explica a l'apartat 4.2, per quina justificació socioeconòmica i fiscal va promoure i impulsar la Universitat de Marratxí la creació de l'establiment de sa Cabaneta l'any 1745? | Perquè Marratxí era terra de possessions propietat de cavallers de fora terme, i la Universitat volia que nous adquiridors fessin habitatges per augmentar la població i recaptar més impostos. | Per traslladar de forma immediata la seu de la Casa Consistorial que es trobava en estat ruïnós a Can Vador (Marratxinet). | Per donar cobertura legal a les obraduries de fang o terrisseries que operaven de forma clandestina als clots d'argila de Pòrtol. | Per complir amb les directrius d'unificació de municipis rurals establertes pel Despotismo Ilustrado de la Corona. | A | El text original de l'apartat 4.2 detalla respecte a sa Cabaneta: "...la justificació per fer aquest establiment es clar: Marratxí encara era una terra de possessions, els propietaris de les quals eren cavallers o altres persones de fora terme i que la Universitat estava molt interessada en l'adquisició de terrenys per establir, així els nous adquiridors podrien conrar les terres i fer-hi habitatges, la qual cosa redundaria en un augment de població i es recaptarien més impostos."
Coneixements de Marratxí | D'acord amb l'apartat 4.2 del document, quins elements geogràfics i històrics varen propiciar i recolzar el sorgiment i consolidació del nucli d'Es Pont d'Inca a la part occidental del terme? | Les comunicacions viàries (trànsit de carreters que aturaven als hostals i tavernes), l'arribada del tren el 1875, l'aparició de fàbriques (Sa Farinera, destil·leries) i la instal·lació de centres educatius de renom. | El traçat del camí ramader de muntanya que anava d'Es Teix a sa Torre de Llucmajor i la proximitat de les terres de Son Alegre. | L'extracció d'argila blanca a es Pou d'es Coll i l'arrelament dels mestres ollers de la branca Amengual "Bernadí". | El trasllat forat del personal militar de les murades de Palma cap a l'aeròdrom de Son Bonet el 1901. | A | L'apartat 4.2 detalla literalment sobre es Pont d'Inca: "Es Pont d'Inca es veu recolzat per les comunicacions, tant carretera (lloc de trànsit de carreters que aturaven als hostals i tavernes) i tren a partir de 1875. A més és una zona que arrenca amb també amb l'aparició de fàbriques (Sa Farinera, destil·leries, fàbrica de teixits,..) i a principi del XX si instal-len varis centres educatius de molt de renom..."
Coneixements de Marratxí | Conforme a les dades demogràfiques i de planificació de l'apartat 4.3, quina densitat de població s'ha disparat actualment a Marratxí lligada a la seva inserció dins l'Àrea Metropolitana de Palma? | Estam parlant de més de 1.000 hab/Km². | Una densitat mitjana de 8,3 hab/Km² segons el recont de fogatges. | Una proporció paritària fixa de 1.563 homes i 2.468 dones per hectàrea rústica. | Exactament 5.427 habitants per quilòmetre quadrat distribuïts en el corredor de sa Comuna. | A | L'apartat 4.3 (Els espais rurals. Els espais urbans. Marratxí i l'Àrea metropolitana) estipula: "La densitat de població s'ha disparada i anem a un excessiu consum de territori. Estam parlant de més de 1.000 hab/Km². Aquets paràmetres semblen més per una ciutat petita, que no per un municipi amb les nostres característiques..."
Coneixements de Marratxí | Segons es descriu a l'apartat 4.4, quines indústries destacables varen aparèixer a finals del segle XIX a Marratxí relacionades amb el sector de l'alimentació i els teixits? | Destil·leries com la Fàbrica de Sucre a sa Cabaneta, farineres, elaboració del pebre bord, indústries càrniques i la fàbrica de llistes es Liceu. | Indústries de transformació alimentària de CARMA SA i magatzems de construcció de tubs Fiol. | Grans centres productors de pasta de GALLO i embotelladores de Brandi de Fàbriques Suau. | Tallers artesanals de sabateria de la cooperativa de consum La Igualdad de forma unificada. | A | El text original de l'apartat 4.4 (Espais industrials) constata: "A finals del XIX apareixen industries relacionades am l'alimentació (destil·leries com la Fabrica de Sucre a sa Cabaneta, farineres, elaboració del pebre bord, càrniques i teixits com la fàbrica de llistes es Liceu."
Coneixements de Marratxí | A tenor de l'apartat 4.5, on es troben les primeres referències documentals sobre els terrissers o "ollers" de Marratxí, i quina data concreta recull el document? | A llistes de comptes de l'any 1729, on apareix Catalina Amengual "oler". | Al nomenclàtor de Jeroni de Berard de l'any 1789. | Al mapa de la loza ordinària gravat pel Cardenal Despuig l'any 1784. | Al padró industrial de Pòrtol dels anys 1893-94. | A | L'apartat 4.5 (La indústria terrissera) concreta de manera literal: "Les primeres referències documentals les trobam a llistes de comptes de 1729 on apareix Catalina Amengual 'oler'. a una llista de comptes, ja hi trobam diversos ollers especificats dintre de la classe d'artesans i menestrals..."
Coneixements de Marratxí | D'acord amb el Tema 2, apartat 1.1, quines característiques arquitectòniques definien les coves d'enterrament utilitzades com a necròpolis durant el període pretalaiòtic? | Presenten tipologies diverses (planta oval, planta allargada, amb corredors o escala d'accés, amb nínxols o bancades). | Són construccions defensives fortificades en turons amb murs de pedra en sec de vuit pams d'alçària. | Estructures de planta en forma de ferradura o barca allargada amb absis apuntat. | Plataformes escalonades de caràcter ritual associades a pous de sínia d'època romana. | A | L'apartat 1.1 (El període pretalaiòtic) descriu: "Un altre element es la cova d'enterrament, a vegades agrupada en necròpolis i presenten tipologies diverses (Planta oval, planta allargada, amb corredors o escala d'accés, amb nínxols o bancades, etc.)."
Coneixements de Marratxí | Segons l'inventari de jaciments arqueològics detallat al document (apartat 1.3), on es troba emplaçada exactament la "Cova de Son Caulelles" (o Cova des Moro) i quines són les seves mides interiors? | Està situada vora la paret de tancament del camp de futbol, i fa 10 m de llarg per 2,5 d'ample i 1,80 d'altura. | Està emplaçada en una elevació rocosa ran de la carretera de Sant Marçal, essent destruïda parcialment. | Es localitza sota el peu de les cases de sa Vileta, integrant una necròpolis de tres coves circulars. | Està situada al costat nord del turó de l'església de sa Cabaneta, comptant amb un portal conopial del segle XVI. | A | La fitxa del jaciment 29/8 de l'apartat 1.3 transcriu textualment: "29/8. Cova de Son Caulelles. Cova des Moro. Cova artificial pretalaiòtica. Situada vora la paret de tancament del camp de futbol.10m. De llarg per 2,5 d'ample i 1,80 altura. Accés per un fossat allargat amb escalonada."
Coneixements de Marratxí | Conforme a les notes de l'apartat 2.1 del Tema 2, quina és la naturalesa i funcionalitat històrica real atribuïda a la calçada de l'anomenat "Camí de sa Bomba"? | És un tram de camí empedrat, amb tècnica molt acurada, que servia per preservar el camí de les revingudes del torrent, la fesomia del qual sembla un traçat medieval (antic camí des Raiguer). | És una via militar romana construïda l'any 123 aC per connectar la Conca d'Alcúdia amb la capital. | És una sèquia subterrània amb ullals de respiració utilitzada pel redimensionament de l'horta d'Amunt de Palma. | Un camí ramader que anava d'Es Teix a la Torre de Llucmajor per al trànsit exclusiu de tancats de bous. | A | L'apartat 2.1 (Notes al Camí de sa Bomba) constata: "La calçada del camí de sa Bomba sempre se li ha atorgat la categoria de calçada romana, un tram de camí empedrat, amb tècnica molt acurada, que servia per preservar el camí de les revingudes del torrent. Localitzat molt prop del pas a nivell del tren al seu pas per Son Sureda, encara que la seva fesomia sembla més la d'un traçat medieval, probablement un antic camí del raiguer..."
Coneixements de Marratxí | A tenor de l'apartat 2.3 del Tema 2, quins són els elements arquitectònics que conformen i alimenten el cèlebre "sistema hidràulic dels Caülls" (o de Son Sales) de tradició islàmica? | S'alimentava d'una font de captació oberta (als Polls Grossos), una sèquia subterrània amb ullals de respiració, una canal a cel obert, una sínia auxiliar, un safareig i un molí hidràulic de cup vertical. | Un aljub de coberta d'arcs, una cisterna de capella del segle XVIII, dues piques de marès i un forn de pa de l'any 1816. | Una presa de contenció de ciment pòrtland, un molí de sang per a la galena i vuit canals de teula àrab. | Una sèquia de distribució connectada directament a la Zona Humida del Pla de Sant Jordi mitjançant tres aqüeductes de pedra. | A | El document detalla de forma sintètica i descriptiva a l'apartat 2.3 i posteriors: "El sistema s'alimentava a partir d'una font de captació... localitzada a... els Polls grossos... De la font arrenca la sèquia subterrània amb diferents ullals de respiració... canal construïda a cel obert... un moli hidràulic o de cup vertical... vinculat al sistema es troba una sínia... El safareig. Element auxiliar utilitzat com a dipòsit a cel obert..."
Coneixements de Marratxí | Segons es narra a l'apartat 3.1 del Tema 2, quina particularitat jurisdiccional compartida tenien les viles de Marratxí sota el règim feudal medieval de la baronia de les terres del "Pariatge"? | Tenien una doble jurisdicció, reial i episcopal (amb el Bisbe de Barcelona), la qual cosa provocà nombroses competències jurisdiccionals. | Estaven sotmeses a la jurisdicció exclusiva i absoluta de l'orde militar de Calatrava fins a les Corts de Cadis. | Es regien de forma unificada pels sindics del regne com un sol municipi reial sense interferència eclesiàstica. | Estaven subjectes al control administratiu de la Diputació Provincial ordinària d'acord amb els furs de Mallorca de 1323. | A | L'apartat 3.1 detalla: "Marratxí va constituir una par del lot de terres i bens que van correspondre al Bisbe de Barcelona... Aquestes Viles, Marratxí, tenien una doble jurisdicció, reial i episcopal, la qual cosa provocà nombroses competències jurisdiccionals entre les dues cúries. Marratxí estava també sotmesa a la Jurisdicció de la Cúria del Pariatge."
Coneixements de Marratxí | Conforme a l'apartat 3.2, en quin document pontifici de quina data exacta apareix documentada per primera vegada la parròquia de Marratxí com una de les 30 parròquies rurals de Mallorca? | A la butlla d'Innocenci IV del 14 d'abril de 1248 (Sancta Maria e Barraxino). | Al decret d'unió del Bisbe Antoni de Galiana de 7 de setembre de 1369. | Al llibre de talles i capbrevacions del Concili de Trento del 31 de juliol de 1564. | A la concòrdia del Pariatge signada per Ponç de Gualba l'any 1323. | A | L'apartat 3.2 detalla textualmente: "La butlla d'Innocenci IV del 14 d'abril de 1248 protegeix 30 parròquies rurals, entre elles Santa Maria de Marratxí (Sancta Maria e Barraxino)."
Coneixements de Marratxí | D'acord amb el text original de l'apartat 4.1 del Tema 2, quina possessió era històricament la més valorada i extensa de Marratxí, arribant a comptar amb 1.530 quarterades de sementers l'any 1723? | Son Sales. | Es Caülls. | Son Sureda. | Son Macià Negre. | A | L'apartat 4.1 (Possessions de Marratxí - Son Sales) estipula: "...era la possessió més valorada de Marratxí, que converteixen la possessió en una de les més rellevants de Mallorca. El 1723 tenia 1530 quarterades de sementers. La possessió es dedica a l'olivar, garroverars, vinya i conreu de cereal.. el 1800 es va dividir en dues: Son Sales i es Caülls."
Coneixements de Marratxí | A tenor de la descripció històrica de l'apartat 4.1, de quina gran possessió originària es va segregar la porció ramadera coneguda com "Es Caülls" (anomenada inicialment Son Sales Nou) l'any 1800? | Es va segregar de la possessió de Son Sales. | Es va subdividir de l'antiga possessió de Son Ametler. | Es va segregar de les terres de la possessió de Son Verí. | Es va independitzar de la cavalleria medieval de Son Caulelles. | A | El document detalla a l'apartat 4.1 respecte a Es Caülls: "Formava part de Son Sales, de fet era la zona ramadera amb grans sestadors i solls, el 1764 tenia 3000 ovelles. Quan es va dividir (1800) l'anomenaren Son Sales Nou, fins que es regularitzar el topònim antic, es Caülls."
Coneixements de Marratxí | Segons es relata a l'apartat 4.1, quina possessió medieval destaca per haver estat propietat durant el segle XVI d'un morisc anomenat Macià Ponç "Negre", i per comptar amb cases amb torre i un important jardí romàntic? | Son Macià Negre (o Son Macià). | Son Sureda. | Son Cós. | Son Conill. | A | L'apartat 4.1 (Son Macià Negre) relata de forma textual: "Durant el s. XVI fou propietat d'un morisc anomenat Macià Ponç 'Negre'... Les cases son d'arquitectura popular amb reformes barroques i vuitcentistes. Destaquen les terrasses enjardinades, una d'elles sobre un gran aljub allargat i un jardí de caràcter romàntic."
Coneixements de Marratxí | Conforme a la descripció del cens de Jeroni de Berard de l'any 1789 (reproduïda a l'apartat 4.4), quin objecte emblemàtic o element religiós es destaca a l'interior de l'església de Sant Marçal pel seu jaspe roig o marbre bruñido? | La pila bautismal de marbre bruñido de una sola pieza (jaspe rojo). | El retaule major de fusta de caoba daurada realitzat per Joan Deià. | La imatge del sant titular revestit d'ornaments pontificials del segle XV. | El rosetó central en forma de creu que flanqueja el cor de la nau. | A | El text de Jeroni de Berard (1789) transcrit a l'apartat 4.4 recull: "La pila bautismal es de mármol bruñido y de una sola pieza, con la definición y molduras de caoba, dorada..." El mateix reitera Antoni Furió el 1840: "...su pila bautismal... ademhas de ser de una sola pieza en jaspe rojo bruñido..."
Coneixements de Marratxí | D'acord amb la descripció de l'Arxiduc Lluís Salvador d'Ausburg a la seva obra "Les Balears" (apartat 4.4), com qualifica la tipologia dels habitatges o cases que componien el districte municipal de Marratxí a finals del segle XIX? | Gairebé totes són de una sola planta, ja que únicament hi ha 63 que tenen planta baixa i un pis i 5 de tres pisos. | Són casals senyorials benestants fets de peces de marès amb clastra i clapers de pedra en sec. | Majoritàriament són obraduries de fusta i teula àrab orientades al nord amb fons impermeables de calç. | Són habitatges unifamiliars adossats de nova planta situats en el corredor de la urbanització des Caülls. | A | El text de l'Arxiduc Lluís Salvador citat a l'apartat 4.4 detalla: "El districte té en total 857 cases, de elles 87 sense habitar, quasi totes son de una sola planta, ja que únicament hi ha 63 que tenen planta baja i un pis i 5 de tres pisos."
Coneixements de Marratxí | Segons es descriu a l'apartat 4.5, quin enginyer va projectar l'edifici de la fàbrica de "Sa Farinera Balear" a Es Pont d'Inca l'any 1880, considerat el més alt de Mallorca en el seu moment? | L'enginyer Eusebi Estada. | L'arquitecte Gaspar Bennassar. | L'arquitecte Guillem Forteza. | El mestre d'obres Lluc Mesquida. | A | L'apartat 4.5 (Es Pla de na Tesa i es Pont d'Inca) constata: "Eusebi estada va construir l'edifici de la Farinera Balear el 1880, considerat el més alt de Mallorca, fàbrica que elaborava farina de xeixa que exportava a Anglaterra i Amèrica. El 1915 l'edifici fou enderrocat."
Coneixements de Marratxí | A tenor de l'apartat 4.6, quina coneguda fàbrica tèxtil sollerica es va instal·lar a Es Pont d'Inca l'any 1928, constituint un motor laboral que emprava majoritàriament dones fins al seu tancament l'any 1972? | Can Rullan / Cotonera Balear. | Sa Farinera de xeixa d'Eusebi Estada. | Les destil·leries de Bodegues BODESA. | L'empresa de transformació de pastes GALLO. | A | L'apartat 4.6 detalla literalment sobre el segle XX a es Pont d'Inca: "L'any 1928 s'hi instal·lar la fàbrica tèxtil sollerica Can Rullan/Cotonera Balear activa fins a 1972 (hi treballaven quasi 180 persones, majoritàriament dones)."
Coneixements de Marratxí | Segons recull l'apartat 4.6 del document, quina mesura de canvi administratiu d'annexió territorial va intentar realitzar l'Ajuntament de Palma l'any 1941, trobant-se amb l'oposició total de Marratxí? | Intentar annexionar els nuclis d'Es Pla de Na Tesa i Es Pont d'Inca. | Intentar absorbir el llogaret històric de Marratxinet i la possessió de Son Sureda. | Intentar comprar de forma unilateral els terrenys militars i civils de l'aeròdrom de Son Bonet. | Intentar unificar les fires i mercats del fang sota una única taxa municipal foral de la capital. | A | El text original de l'apartat 4.6 afirma textualmente: "L'any 1941 hi va haver un intent de l'ajuntament de Palma d'annexionar Es Pla de Na Tesa i Es Pont d'Inca, però l'ajuntament de Marratxí es va oposar totalment."
Coneixements de Marratxí | Conforme al que preveu la Llei 12/1998 del Patrimoni Històric de les Illes Balears (Tema 2, apartat 1.2), quina comissió o òrgan insular té la competència delegada per aprovar de manera definitiva els catàlegs municipals d'elements protegits? | El Consell de Mallorca, a través de la Comissió Insular de Patrimoni Històric i la Comissió Insular d'Urbanisme. | El Ministeri d'Educació i Cultura de l'Estat de forma centralitzada. | L'Ajuntament en Ple mitjançant votació nominal de la Comissió Informativa de Cultura. | El Govern de les Illes Balears a proposta unànime de la Conferencia Sectorial de la Dona. | A | L'apartat 2.3 del Tema 2 (El Catàleg d'Elements d'Interès... del terme municipal de Marratxí) explica el tràmit: "Un cop aprovat de manera provisional, aquest es remet al Consell de Mallorca (entitat amb competències en patrimoni segons la Llei 12/98, on ha de ser aprovat per part de la Comissió Insular de Patrimoni Històric i per la Comissió Insular d'Urbanisme."
Coneixements de Marratxí | D'acord amb els criteris de protecció del Catàleg de Marratxí (apartat 2.3), quin grau o tipus de protecció s'aplica als edificis singulars de gran importància que suposa el blindatge tant dels exteriors com dels interiors? | PROTECCIÓ A. INTEGRAL. | PROTECCIÓ B. EXTERIORS - FAÇANES. | PROTECCIÓ C. AMBIENTAL. | BIC - SÒL RÚSTIC LIMITAT. | A | L'apartat 2.3 detalla la gradació de les fitxes del catàleg municipal: "PROTECCIÓ A. INTEGRAL Suposa la protecció tant dels exteriors com dels interiors. Reservada per edificis singulars. de gran importància per Marratxí: esglésies, possessions. Olleries, molins..."
Coneixements de Marratxí | Segons s'exposa a l'apartat 3.3 del Tema 2 del document, quina declaració de protecció i promoció geogràfica unificada va rebre la zona de Pòrtol l'any 1991 per part de la Comissió d'Artesania? | Declarada com a Zona d'Interès Artesanal, la qual cosa permet utilitzar en els productes de fang un distintiu de procedència geogràfica. | Declarada com a Bé d'Interès Cultural (BIC) en la categoria de conjunt històric de teuleres forals. | Classificada com a ANEI-Agrícola Ramadera amb prohibició absoluta de transformació del sòl urbà. | Declarada com a Parc etnològic industrial sota el control directe de l'Escola Municipal de Ceràmica. | A | L'apartat 3.3 (Pòrtol Zona d'interès Artesanal) estipula: "La Comissió d'Artesania de les Illes Balears... el dia 12 de juny de 1991 acordà per unanimitat declarar la zona de Pòrtol com Zona d'Interès Artesanal, la qual cosa permetia utilitzar en els productes artesans elaborats de dita zona i de fang, un distintiu de procedència geogràfica."
